"participant","age","gender","presentation","a_stereo_moved","a_stereo_fascinated","a_stereo_strong","a_stereo_tender","a_stereo_nostalgic","a_stereo_serene","a_stereo_animated","a_stereo_sad","a_stereo_tense","a_stereo_bouncy","a_stereo_filled_with_wonder","a_stereo_sentimental","a_stereo_affectionate","a_stereo_overwhelmed","a_stereo_agitated","a_stereo_feeling_of_transcendence","a_stereo_calm","a_stereo_joyful","a_stereo_tearful","a_stereo_soothed","a_stereo_energetic","a_stereo_dreamy","a_stereo_mellowed","a_stereo_allured","a_stereo_triumphant","a_stereo_sorrowful","a_stereo_nervous","a_surround_moved","a_surround_fascinated","a_surround_strong","a_surround_tender","a_surround_nostalgic","a_surround_serene","a_surround_animated","a_surround_sad","a_surround_tense","a_surround_bouncy","a_surround_filled_with_wonder","a_surround_sentimental","a_surround_affectionate","a_surround_overwhelmed","a_surround_agitated","a_surround_feeling_of_transcendence","a_surround_calm","a_surround_joyful","a_surround_tearful","a_surround_soothed","a_surround_energetic","a_surround_dreamy","a_surround_mellowed","a_surround_allured","a_surround_triumphant","a_surround_sorrowful","a_surround_nervous","a_auro_moved","a_auro_fascinated","a_auro_strong","a_auro_tender","a_auro_nostalgic","a_auro_serene","a_auro_animated","a_auro_sad","a_auro_tense","a_auro_bouncy","a_auro_filled_with_wonder","a_auro_sentimental","a_auro_affectionate","a_auro_overwhelmed","a_auro_agitated","a_auro_feeling_of_transcendence","a_auro_calm","a_auro_joyful","a_auro_tearful","a_auro_soothed","a_auro_energetic","a_auro_dreamy","a_auro_mellowed","a_auro_allured","a_auro_triumphant","a_auro_sorrowful","a_auro_nervous","b_stereo_moved","b_stereo_fascinated","b_stereo_strong","b_stereo_tender","b_stereo_nostalgic","b_stereo_serene","b_stereo_animated","b_stereo_sad","b_stereo_tense","b_stereo_bouncy","b_stereo_filled_with_wonder","b_stereo_sentimental","b_stereo_affectionate","b_stereo_overwhelmed","b_stereo_agitated","b_stereo_feeling_of_transcendence","b_stereo_calm","b_stereo_joyful","b_stereo_tearful","b_stereo_soothed","b_stereo_energetic","b_stereo_dreamy","b_stereo_mellowed","b_stereo_allured","b_stereo_triumphant","b_stereo_sorrowful","b_stereo_nervous","b_surround_moved","b_surround_fascinated","b_surround_strong","b_surround_tender","b_surround_nostalgic","b_surround_serene","b_surround_animated","b_surround_sad","b_surround_tense","b_surround_bouncy","b_surround_filled_with_wonder","b_surround_sentimental","b_surround_affectionate","b_surround_overwhelmed","b_surround_agitated","b_surround_feeling_of_transcendence","b_surround_calm","b_surround_joyful","b_surround_tearful","b_surround_soothed","b_surround_energetic","b_surround_dreamy","b_surround_mellowed","b_surround_allured","b_surround_triumphant","b_surround_sorrowful","b_surround_nervous","b_auro_moved","b_auro_fascinated","b_auro_strong","b_auro_tender","b_auro_nostalgic","b_auro_serene","b_auro_animated","b_auro_sad","b_auro_tense","b_auro_bouncy","b_auro_filled_with_wonder","b_auro_sentimental","b_auro_affectionate","b_auro_overwhelmed","b_auro_agitated","b_auro_feeling_of_transcendence","b_auro_calm","b_auro_joyful","b_auro_tearful","b_auro_soothed","b_auro_energetic","b_auro_dreamy","b_auro_mellowed","b_auro_allured","b_auro_triumphant","b_auro_sorrowful","b_auro_nervous","complete","stereo_moved","stereo_filled_with_wonder","stereo_allured","stereo_feeling_of_transcendence","stereo_fascinated","stereo_overwhelmed","stereo_affectionate","stereo_tender","stereo_mellowed","stereo_sentimental","stereo_dreamy","stereo_nostalgic","stereo_calm","stereo_serene","stereo_soothed","stereo_energetic","stereo_triumphant","stereo_strong","stereo_joyful","stereo_animated","stereo_bouncy","stereo_agitated","stereo_nervous","stereo_tense","stereo_sad","stereo_sorrowful","stereo_tearful","surround_moved","surround_filled_with_wonder","surround_allured","surround_feeling_of_transcendence","surround_fascinated","surround_overwhelmed","surround_affectionate","surround_tender","surround_mellowed","surround_sentimental","surround_dreamy","surround_nostalgic","surround_calm","surround_serene","surround_soothed","surround_energetic","surround_triumphant","surround_strong","surround_joyful","surround_animated","surround_bouncy","surround_agitated","surround_nervous","surround_tense","surround_sad","surround_sorrowful","surround_tearful","auro_moved","auro_filled_with_wonder","auro_allured","auro_feeling_of_transcendence","auro_fascinated","auro_overwhelmed","auro_affectionate","auro_tender","auro_mellowed","auro_sentimental","auro_dreamy","auro_nostalgic","auro_calm","auro_serene","auro_soothed","auro_energetic","auro_triumphant","auro_strong","auro_joyful","auro_animated","auro_bouncy","auro_agitated","auro_nervous","auro_tense","auro_sad","auro_sorrowful","auro_tearful","stereo_wonder","stereo_transcendence","stereo_tenderness","stereo_nostalgia","stereo_peacefulness","stereo_power","stereo_joyful_activation","stereo_tension","stereo_sadness","surround_wonder","surround_transcendence","surround_tenderness","surround_nostalgia","surround_peacefulness","surround_power","surround_joyful_activation","surround_tension","surround_sadness","auro_wonder","auro_transcendence","auro_tenderness","auro_nostalgia","auro_peacefulness","auro_power","auro_joyful_activation","auro_tension","auro_sadness"
1,20,"male","a_surr;b_ster;a_auro;b_surr;a_ster;b_auro",1,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,1,2,1,1,2,2,1,3,2,1,1,1,1,1,2,1,2,2,1,3,3,1,1,2,3,1,2,2,2,1,1,1,1,1,2,3,1,1,3,1,1,2,2,1,1,2,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,3,2,2,2,1,1,1,1,1,1,1,3,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1,3,3,3,2,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,3,2,2,2,1,1,2,1,1,1,1,TRUE,1.5,2,1.5,1,2,1,1,1.5,1,1,1,1,2.5,2,1.5,1.5,1.5,1.5,2,1.5,1,1,1,1,1,1,1.5,2,1.5,2,1,2,1.5,1.5,1.5,1.5,1,1,1,3,1.5,1.5,1,1,1.5,2.5,2,1,1.5,1.5,1.5,1,1.5,2,1.5,1.5,1.5,1,2,1,1,1.5,1.5,1,1,1,2.5,2,1.5,2,1.5,2.5,2.5,2,1.5,1,1,2,1,1,1.5,1.66666666666667,1.33333333333333,1.16666666666667,1,2,1.5,1.5,1,1.16666666666667,1.83333333333333,1.5,1.5,1,2,1.16666666666667,1.83333333333333,1.5,1.5,1.5,1.33333333333333,1.33333333333333,1,2,2,2,1.33333333333333,1.16666666666667
2,28,"male","b_ster;a_auro;b_surr;a_ster;b_auro;a_surr",1,2,2,1,1,1,3,1,3,2,1,2,1,2,4,1,1,1,1,1,3,1,1,4,1,3,3,1,3,3,1,2,2,4,1,4,3,2,1,1,3,3,1,1,1,1,1,3,1,1,4,1,3,2,1,1,1,1,1,2,2,1,3,1,1,1,1,2,3,1,1,1,1,1,1,1,1,2,1,3,2,4,4,1,4,4,4,2,2,1,2,2,3,3,4,1,2,4,2,1,3,1,4,4,4,1,2,1,4,4,2,4,3,4,2,1,1,3,3,3,4,3,1,2,4,1,1,3,3,4,4,4,1,2,1,4,5,2,4,4,5,2,2,1,4,4,4,5,4,1,3,4,1,1,4,4,4,4,5,1,1,1,TRUE,2.5,1.5,4,1.5,3,3,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2,1,1.5,1.5,2.5,2,2.5,2,2,1.5,2.5,1,2.5,2.5,4,1.5,3.5,3,2.5,2.5,2.5,2,2.5,2.5,2.5,3,2,3,1,2.5,1,3,3,2,1.5,2.5,1,2.5,1,2.5,2.5,3.5,2,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,1,1.5,1,2,2.5,2,1.5,2,1.5,2,1,2.66666666666667,2.5,2.33333333333333,2.5,2.33333333333333,1.5,2,2.16666666666667,1.66666666666667,3,2.66666666666667,2.5,2.33333333333333,2.5,2.16666666666667,2.33333333333333,2,1.5,2.83333333333333,2.66666666666667,2.66666666666667,2.5,2.83333333333333,1.66666666666667,1.83333333333333,1.83333333333333,1.5
3,28,"male","a_auro;b_surr;a_ster;b_auro;a_surr;b_ster",2,4,1,1,2,2,3,2,4,2,3,1,2,3,3,2,2,1,1,2,3,2,2,4,1,2,2,2,4,2,1,1,3,3,2,3,3,3,2,2,3,2,3,3,2,1,2,3,2,1,4,2,2,2,2,5,2,1,1,2,3,1,4,2,3,1,1,4,5,3,2,2,1,1,2,3,1,5,3,2,3,3,3,1,3,2,4,2,3,1,1,3,3,3,2,1,2,3,2,1,3,2,3,3,3,2,1,2,3,4,1,2,2,3,2,2,4,2,4,3,3,2,2,3,4,2,1,3,2,3,4,4,2,2,1,3,5,2,3,2,3,2,3,2,1,4,3,3,3,2,3,4,2,1,4,2,3,4,4,2,2,1,TRUE,2.5,3,3.5,2,3.5,2.5,2.5,2,2.5,2,2.5,2,2.5,3,2.5,2.5,1.5,1,1.5,2.5,1.5,2,2,2.5,2.5,1.5,1,2.5,3.5,4,3,4,2.5,2.5,1.5,2.5,2.5,2.5,1.5,3.5,3,2.5,2.5,2,1.5,2,2.5,2.5,2,1.5,3.5,2,2,1,2.5,3.5,4.5,3,5,3.5,2,2,2.5,2,3,1.5,3,2.5,2.5,2,2.5,2,2,2.5,1.5,3.5,2,3,2,2,1,3,2.66666666666667,2.33333333333333,2.16666666666667,2.66666666666667,1.66666666666667,1.83333333333333,2.16666666666667,1.66666666666667,3.33333333333333,3.16666666666667,2.16666666666667,2.16666666666667,3,2,2.33333333333333,2.33333333333333,1.66666666666667,3.5,3.83333333333333,2.16666666666667,2.16666666666667,2.66666666666667,2.16666666666667,2,2.83333333333333,1.66666666666667
4,27,"male","b_surr;a_ster;b_ster;a_surr;b_auro;a_auro",2,5,4,1,2,2,4,2,4,3,4,2,1,5,4,2,1,1,3,1,5,2,2,5,4,3,3,2,5,4,2,3,2,4,4,4,3,3,3,2,4,4,2,1,2,2,1,5,1,2,4,4,4,4,4,5,5,2,3,2,4,3,4,4,4,4,3,5,4,3,2,3,3,2,5,2,2,5,4,3,3,5,3,2,4,5,4,2,4,3,2,2,5,5,4,3,4,3,2,4,4,3,4,4,3,2,4,2,4,4,2,4,4,3,3,3,2,2,2,4,4,3,2,3,3,2,3,4,3,4,4,2,2,3,1,3,3,2,3,4,4,2,4,2,2,2,3,4,3,3,4,3,2,3,4,2,4,4,2,1,3,2,TRUE,3.5,3,4,3,4,4.5,3,2.5,3,3.5,3,3.5,2,3,2.5,4,3,3,1.5,3,2.5,3.5,2.5,3.5,3,3.5,3.5,3,2.5,3,2.5,4.5,3.5,3,3,3,3.5,2.5,3.5,2,2.5,2.5,4,3,3,2,3.5,2.5,3,2.5,3,3.5,3.5,2.5,3.5,3,3.5,3.5,4,4,3.5,2.5,3,3.5,3,3.5,2.5,3,3,3.5,2.5,3.5,2.5,3,3,3.5,2.5,3,3.5,3,3,3.5,3.83333333333333,2.83333333333333,3.33333333333333,2.5,3.33333333333333,2.33333333333333,3.16666666666667,3.33333333333333,2.83333333333333,3.5,3,3.16666666666667,2.33333333333333,3.33333333333333,2.66666666666667,2.83333333333333,3.16666666666667,3.33333333333333,3.83333333333333,3,3.33333333333333,2.83333333333333,3.16666666666667,2.83333333333333,3,3.16666666666667
5,32,"female","a_auro;b_surr;a_ster;b_auro;a_surr;b_ster",2,3,3,1,1,2,3,1,3,2,3,1,1,3,3,2,2,1,1,1,3,1,1,3,3,3,3,4,4,4,2,2,2,4,1,4,2,3,1,2,3,4,2,1,2,2,1,4,2,2,4,4,3,4,3,4,4,2,1,3,4,1,4,4,3,1,1,3,3,2,2,2,1,1,3,1,1,4,3,1,3,3,3,2,3,3,4,2,1,1,3,2,3,3,2,1,1,3,3,2,4,3,3,3,2,1,2,1,3,3,2,3,4,4,2,3,1,2,3,3,3,2,2,2,3,3,2,3,3,4,4,3,2,2,1,4,3,3,3,4,3,2,3,1,2,3,4,4,2,1,2,4,2,1,4,2,3,4,3,1,3,1,TRUE,2.5,2.5,2.5,1.5,3,2.5,2,2,2,2,2,2,2.5,3,2.5,3,2,2.5,2,2.5,2.5,2,2,2,1,2.5,1.5,3.5,3,3.5,2,3.5,2.5,2.5,2.5,3,2,3,3,2,3,2,3.5,3,3,2.5,3,2,3,2.5,2.5,2,2.5,2,3.5,3,3.5,2,3.5,2.5,2.5,2.5,2.5,2.5,2,2.5,3,3,2.5,2.5,2,3.5,2,3,3,2,2,2.5,2,2,1,2.5,2.33333333333333,2,2,2.66666666666667,2.5,2.33333333333333,2,1.66666666666667,3.33333333333333,2.66666666666667,2.66666666666667,2.66666666666667,2.33333333333333,3.16666666666667,2.5,2.66666666666667,2.16666666666667,3.33333333333333,2.66666666666667,2.5,2.33333333333333,2.83333333333333,2.66666666666667,2.66666666666667,2.16666666666667,1.66666666666667
6,27,"female","b_ster;a_surr;b_auro;a_ster;b_surr;a_auro",2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,NA,4,2,1,1,1,1,3,1,2,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,NA,3,1,1,1,1,1,3,1,2,1,1,1,2,1,3,1,1,2,1,1,3,1,1,2,1,1,NA,2,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,3,2,1,2,1,2,3,2,1,1,NA,2,1,1,2,2,2,1,1,1,1,1,3,3,1,1,1,2,1,1,2,1,2,2,1,1,1,NA,2,1,1,3,2,3,1,1,1,1,1,3,3,1,1,1,3,2,1,2,1,1,3,2,1,1,NA,TRUE,2,1.5,1.5,1,1.5,1,1.5,1.5,2,1.5,1.5,1.5,2,1.5,1.5,1.5,1,1,2,1.5,1,1.5,NA,1,1,1,1,3,1,1,1,1.5,1,2,1.5,1.5,2,1.5,1.5,1.5,1.5,1.5,2,1,1,1,2,1,2,NA,1.5,1,1,1,2.5,1,2,1,1,1,2.5,2,2,2,1,1.5,2,2,1.5,2,1,1,2,2,1,2,NA,1.5,1,1,1,1.66666666666667,1.16666666666667,1.66666666666667,1.5,1.66666666666667,1.16666666666667,1.5,1.25,1,1.66666666666667,1.16666666666667,1.66666666666667,1.66666666666667,1.5,1.33333333333333,1.33333333333333,1.75,1,1.83333333333333,1,2.16666666666667,1.5,1.83333333333333,1.33333333333333,1.66666666666667,1.75,1
7,28,"male","a_surr;b_surr;a_ster;b_ster;a_auro;b_auro",2,3,2,2,2,2,3,2,4,3,3,3,2,3,2,2,2,2,3,1,4,3,2,4,3,3,3,2,3,2,2,2,2,3,2,2,2,3,3,2,3,3,2,2,2,2,1,2,3,2,3,2,1,2,3,3,2,2,1,2,3,2,4,3,3,2,2,3,3,2,2,2,2,2,4,2,2,3,2,3,2,3,2,2,3,3,3,2,2,1,2,3,4,3,2,1,2,3,2,3,4,2,4,4,3,2,1,1,4,3,3,4,3,4,3,2,1,2,3,4,3,2,1,3,3,3,3,4,2,4,4,3,3,2,2,4,4,3,4,3,4,3,3,2,3,4,4,5,4,2,4,4,3,4,5,3,5,5,4,3,1,1,TRUE,2.5,3,3.5,2,2.5,2.5,2.5,2.5,3,3.5,3.5,2.5,2.5,2.5,2.5,3,2.5,2,2,2.5,2.5,1.5,2,2.5,2,2,3,3,3,3,2.5,3,2.5,2.5,3,3,3.5,3.5,2.5,2.5,3,2.5,2,2.5,2.5,2.5,3,2,2,2,1.5,2,1.5,2.5,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3,3.5,2,3,3,3.5,3.5,2.5,2.5,2.5,3,3,2.5,1.5,3,2.5,2,3,3,2.33333333333333,2.66666666666667,3.16666666666667,2.5,2.5,2.33333333333333,2,2.33333333333333,3,2.66666666666667,2.83333333333333,3.16666666666667,2.66666666666667,2.33333333333333,2.5,1.83333333333333,2,3.5,3.33333333333333,3.33333333333333,2.83333333333333,3.16666666666667,2.83333333333333,2.83333333333333,2.33333333333333,2.5
8,53,"female","b_auro;a_ster;b_surr;a_surr;b_ster;a_auro",1,5,4,1,1,3,4,1,3,2,4,2,4,4,1,4,2,1,1,3,5,1,1,5,3,1,1,1,4,4,1,1,2,4,1,2,2,3,1,3,3,1,3,2,2,1,2,2,1,1,4,3,1,1,1,5,4,1,1,2,4,1,1,4,4,1,4,4,1,4,4,3,1,2,5,1,2,5,3,1,1,4,5,4,3,2,2,1,3,1,1,4,4,3,3,1,4,4,3,4,2,1,2,2,4,2,1,1,3,4,3,2,3,4,1,3,1,1,3,3,3,3,1,4,4,2,3,4,1,3,3,3,1,1,1,3,5,4,2,3,1,3,2,1,1,4,4,4,4,1,4,4,3,4,4,4,1,3,5,1,1,1,TRUE,2.5,4,4.5,4,5,3.5,3.5,2,1.5,3,1.5,1.5,3,2.5,2.5,3,2.5,4,2,2.5,1.5,1,1,2,2,1,2.5,2,3,3.5,3.5,4,3,3,1.5,2,2,2,2,3,3,3,1.5,2,3.5,2,2.5,1.5,1,1,1.5,2,1,2,2,4,5,4,5,4,4,1.5,2.5,2.5,1,2,4,1.5,3,4.5,2,4,3,3.5,2.5,1,1,1,1.5,1,2.5,3.66666666666667,4.16666666666667,2.33333333333333,2,2.66666666666667,3.16666666666667,2,1.33333333333333,1.83333333333333,2.83333333333333,3.5,2.16666666666667,2,3,2.33333333333333,2,1.16666666666667,1.66666666666667,3.66666666666667,4.33333333333333,2.66666666666667,1.83333333333333,2.83333333333333,3.5,3,1,1.66666666666667
